name,team,pos,targets,receptions,yards,rec_touchdowns,avg_cushion,avg_separation,avg_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation,catch_percentage,percent_share_of_intended_air_yards,catch_pct,ypr,ypt,td_rate,yac_oe,name_last,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_epa,air_yards_total,s_sep,s_yac_oe,s_ypt,s_catch,s_air,s_cushion,s_drop,s_btk,composite,rank
Kendrick Bourne,SF,WR,84,59,900.0,0,6.228391176470589,2.5417989443277125,9.710500057175528,5.804405405405406,3.5531060203195914,2.2512993850858147,68.58852677720601,22.954955155367696,70.23809523809523,15.254237288135593,10.714285714285714,0.0,2.2512993850858147,BOURNE,,,,,,,23.38453093885167,62.080990881619236,79.61192863654122,68.2035355948399,38.01554562581761,55.16139254656193,50.0,50.0,52.341890054355915,14
Stefon Diggs,NE,WR,180,150,1822.0,7,5.587989121703039,2.997704183525205,8.689325028358452,4.107842458195399,3.2604525566559035,0.8473899015394957,82.94667453758363,27.675185269787505,83.33333333333334,12.146666666666667,10.122222222222222,3.888888888888889,0.8473899015394957,DIGGS,,,,,,,38.87187871151294,36.35704137377066,72.53631115162564,100.0,31.513191106939846,37.079282130616406,50.0,50.0,52.09418911769871,15
Ryan Flournoy,DAL,WR,96,67,842.0,5,6.71306394129979,3.361132308662947,8.254692816442816,6.790773148148148,5.598146446754442,1.1926267013937053,68.12576312576313,23.50840978776227,69.79166666666666,12.567164179104477,8.770833333333334,5.208333333333334,1.1926267013937053,FLOURNOY,,,,,,,51.21772885853497,42.68284379321696,56.38616681859618,67.11956521739127,28.745660911383414,68.84639930754788,50.0,50.0,51.516558768449215,16
Oronde Gadsden,LAC,TE,69,49,664.0,3,5.9575862068965515,3.163673433649344,9.020434782608696,4.921428571428571,3.5727520984338623,1.3486764729947085,71.01449275362319,14.055122110944257,71.01449275362319,13.551020408163266,9.623188405797102,4.3478260869565215,1.3486764729947085,GADSDEN,,,,,,,44.50994398307012,45.54215665663282,66.5724703737466,70.08870146866364,33.62153977003592,47.515062675240856,50.0,50.0,51.25053661248046,17
Evan Engram,DEN,TE,122,80,731.0,2,7.156852564102564,4.797149199340989,4.4938559158312446,6.493929166666667,6.398142510783518,0.09578665588314916,65.2623746867168,12.366558801525462,65.57377049180327,9.1375,5.991803278688525,1.639344262295082,0.09578665588314916,ENGRAM,,,,,,,100.0,22.585352979473207,23.174604360625857,56.87811831789021,4.79844899827815,81.37701943769865,50.0,50.0,50.925716026568494,18
Chig Okonkwo,TEN,TE,59,42,411.0,2,6.0329999999999995,3.7520278529478928,4.108540476190475,6.67895,4.733787191638497,1.9451628083615042,71.45238095238095,9.019807105138634,71.1864406779661,9.785714285714286,6.966101694915254,3.389830508474576,1.9451628083615042,OKONKWO,,,,,,,64.49666210304234,56.471625082430265,34.818225360381945,70.506207131115,2.3449444379053435,49.64441332867807,50.0,50.0,49.94874641869378,19
Brenton Strange,JAX,TE,108,83,928.0,5,6.675177777777778,3.7694102958858715,5.961103174603174,5.5725169082125605,5.939396540686102,-0.3668796324735408,76.6137566137566,11.5852003483297,76.85185185185185,11.180722891566266,8.592592592592593,4.62962962962963,-0.3668796324735408,STRANGE,,,,,,,65.08715309935727,14.10788033600379,54.256051858604295,84.26235600148641,14.14117827989641,67.77666227759683,50.0,50.0,49.78735701152055,20
George Pickens,DAL,WR,263,180,2762.0,17,5.311440760969228,2.4390637893114837,11.526151299633051,5.416111119644992,3.1521019837358804,2.2640091359091112,69.06374998345801,35.54028433343818,68.44106463878326,15.344444444444445,10.50190114068441,6.4638783269961975,2.2640091359091112,PICKENS,,,,,,,19.894562108891897,62.313872696485205,77.07376841784196,63.84017701590851,49.5767449579005,29.27078439562305,50.0,50.0,49.752926271507846,21
Colston Loveland,CHI,TE,143,101,1253.0,12,5.571975,3.5848369843397867,8.852487697668185,4.760578735632184,4.027729151505642,0.7328495841265422,70.33690699544358,22.918645739275682,70.62937062937063,12.405940594059405,8.762237762237762,8.391608391608392,0.7328495841265422,LOVELAND,,,,,,,58.81709779028088,34.2583096704268,56.28344308380772,69.15358888603033,32.55213300246121,36.62711444206355,50.0,50.0,49.72412272790493,22
Cole Kmet,CHI,TE,62,38,438.0,2,5.171679536679537,4.305575031243458,7.629902777777779,6.293333333333334,4.932264544522394,1.3610687888109398,65.27777777777777,18.643949249766038,61.29032258064516,11.526315789473685,7.064516129032258,3.225806451612903,1.3610687888109398,KMET,,,,,,,83.3009594037914,45.76922208362659,35.99435410356692,46.477505664041416,24.767296559907326,25.32454801074571,50.0,50.0,49.5085933925977,23
