name,team,rush_attempts,rush_yards,rush_touchdowns,efficiency,avg_time_to_los,avg_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,expected_rush_yards,percent_attempts_gte_eight_defenders,ypc,td_rate,name_last,ryoe_att,broken_tackles,drops,rec_yards,receptions,rec_targets,rush_epa,rec_epa,total_epa,s_ryoe,s_eff,s_ypc,s_poe,s_btk,s_recv,s_stacks,composite,rank
Tyrone Tracy Jr.,NYG,146,626,1,4.147112392322302,2.766924735708048,4.195796783625731,39.577846960529655,0.16731893354313393,0.40954476594956474,565.4221530394703,17.042710944026734,4.287671232876712,0.684931506849315,JR.,0.16731893354313393,,,,,,,,0.0,54.99417981900616,27.41323301496618,43.01012895453125,61.61575850718427,50.0,50.0,21.55190126044405,45.804022379378964,37
Woody Marks,HOU,366,1308,4,4.418732024544965,2.7775618129721233,3.631001173114729,60.23509711918952,0.16870356963266908,0.39888432404154156,1229.7649028808105,27.959274475749485,3.5737704918032787,1.092896174863388,MARKS,0.16870356963266908,,,,,,,,0.0,55.05164665849732,36.54646624264568,13.626061714741217,56.5590743596482,50.0,50.0,50.71332004622675,44.09041849558869,38
Emanuel Wilson,GB,207,830,6,4.033672114574521,2.5438875707817084,4.212139009139009,-8.446597638428123,0.040400070247608645,0.4002794612794613,838.4465976384281,34.82539682539682,4.009661835748792,2.898550724637681,WILSON,0.040400070247608645,,,,,,,,0.0,49.72663984909696,23.598794030548845,31.56729615088803,57.220845083178574,50.0,50.0,69.05479432892076,43.69755351291759,39
Tyrone Tracy,NYG,176,740,2,3.959094594594597,2.736920731707316,4.204545454545454,15.025731753000514,0.08838665737059126,0.38823529411764707,694.9742682469995,17.045454545454543,4.204545454545454,1.1363636363636365,TRACY,0.08838665737059126,,,,,,,,0.0,51.71823715092021,21.091118580343522,39.58868207919551,51.50780338351096,50.0,50.0,21.559230243597504,41.896530348406884,40
Brian Robinson,SF,92,400,2,3.7562500000000005,2.7184337349397585,4.3478260869565215,-5.8499253561027444,-0.06428489402310708,0.38461538461538464,402.84992535610274,30.434782608695656,4.3478260869565215,2.1739130434782608,ROBINSON,-0.06428489402310708,,,,,,,,0.0,45.38187801286366,14.27045184043779,45.48609539550046,49.79073206943821,50.0,50.0,57.32614551668522,41.22512564518129,41
Rachaad White,TB,227,958,8,3.8534936500459787,2.770853606986481,4.199547076017664,-30.307017801565557,-0.004154123176736687,0.37815213002220877,919.3070178015655,24.501413619060678,4.220264317180617,3.524229074889868,WHITE,-0.004154123176736687,,,,,,,,0.0,47.87749789654626,17.54027784127964,40.23566854388268,46.724945742306225,50.0,50.0,41.47633550875348,40.62991552538571,42
Josh Jacobs,GB,457,1815,26,3.9816936305986914,2.6595716897623816,3.980219628270462,-25.935083253976686,-0.08112411257101183,0.3946138407729566,1810.9350832539767,16.7923755997521,3.9715536105032823,5.689277899343545,JACOBS,-0.08112411257101183,,,,,,,,0.0,44.682996424580075,21.85101308744204,29.9987662578956,54.53340926687944,50.0,50.0,20.883180395122096,38.96942468683682,43
Kareem Hunt,KC,266,979,13,3.7785799251400807,2.5299263473389666,3.608297709448016,-4.171687310166973,-0.12260611222152985,0.4276392991066904,980.1716873101669,25.808326387314118,3.680451127819549,4.887218045112782,HUNT,-0.12260611222152985,,,,,,,,0.0,42.96136036893659,15.021297471852938,18.017023653192553,70.19873656401703,50.0,50.0,44.96749190066894,38.4082169283672,44
Christian McCaffrey,SF,606,2356,20,4.700465447630962,2.7372024276923885,3.8854390341575376,-316.49059293664214,-0.5634176842223078,0.35405209556552136,2641.4905929366423,29.362998763098783,3.887788778877888,3.3003300330033,MCCAFFREY,-0.5634176842223078,,,,,,,,0.0,24.66626605103416,46.01977654801993,26.551016027087122,35.2933124907347,50.0,50.0,54.46308907236893,37.05151416046323,45
Devin Singletary,NYG,172,643,8,4.0865971520725015,2.7834441617841614,3.9437611408199644,-40.30943995384817,-0.29053813325101546,0.3598576564678259,679.3094399538481,36.64056531703591,3.738372093023256,4.651162790697675,SINGLETARY,-0.29053813325101546,,,,,,,,0.0,35.9916427869195,25.378402916317782,20.4010435010781,38.04712776739264,50.0,50.0,73.90365435686141,36.474335138692915,46
