name,team,dropbacks,cpoe,avg_air_yards,avg_completed_air,air_diff,aggressiveness,time_to_throw,passer_rating,comp_pct,pass_yards,pass_tds,interceptions,weeks,ypa,td_rate,int_rate,name_last,times_pressured,times_blitzed,times_hurried,times_hit,bad_throws,bad_throw_pct,drops,times_sacked,pressure_pct,sack_rate,s_cpoe,s_passer_rat,s_air_yards,s_aggress,s_td_int,composite,rank
Joe Flacco,CIN,666,-0.5356431542102779,7.386818650622493,5.44253835605135,-1.9442802945711428,17.36894758640691,2.6776135214997723,88.63440138109647,61.044561965244064,4115,28,14,7,6.178678678678678,4.2042042042042045,2.1021021021021022,FLACCO,,,,,,,,,,,48.97484453951155,55.466793198752974,44.01547891925761,64.91777443455666,60.94946401225114,53.71201144190267,25
Aaron Rodgers,PIT,996,-1.4658762886111285,5.794379802004027,3.13947081962633,-2.654908982377697,14.183419618859869,2.624733055984617,95.25772098485014,65.78756403848647,6644,48,14,17,6.670682730923695,4.819277108433735,1.4056224899598393,RODGERS,,,,,,,,,,,44.546839514353735,66.74251775283088,11.134151633502588,34.01781030708593,76.55399546117087,53.087143188359605,26
Kirk Cousins,ATL,517,-0.45097646086027116,7.008714893370584,4.375858394914619,-2.632856498455964,17.050848111031534,2.787934812017161,86.15498167856477,62.45393020756425,3365,20,10,9,6.508704061895552,3.8684719535783367,1.9342359767891684,COUSINS,,,,,,,,,,,49.37786667423566,51.24575974539872,36.20823821989911,61.832175287977755,60.94946401225114,51.977390736244544,27
Michael Penix Jr.,ATL,276,-2.181538773929122,8.812130947296666,6.528598765432099,-2.2835321818645666,12.297205389310653,2.7942924066526036,90.26435623657845,61.6048125916547,1982,9,3,9,7.181159420289855,3.260869565217391,1.0869565217391304,JR.,,,,,,,,,,,41.1402127622911,58.241673936137396,73.44590894927967,15.721329276760493,69.3962647313403,51.87192230053446,28
Carson Wentz,MIN,338,0.11913007529094817,7.869448070649159,5.728325596625596,-2.1411224740235615,14.317487955267481,2.682639704585538,89.09889967152601,65.21597965430348,2432,12,10,6,7.195266272189349,3.5502958579881656,2.9585798816568047,WENTZ,,,,,,,,,,,52.091632195584104,56.257568080846134,53.98100816479106,35.31828759933677,42.55643049376115,50.20309178233427,29
Michael Penix,ATL,276,-3.197391304347832,8.821780303030302,6.317349397590362,-2.50443090543994,13.768115942028986,2.790391304347826,88.46618357487924,60.14492753623188,1982,9,3,1,7.181159420289855,3.260869565217391,1.0869565217391304,PENIX,,,,,,,,,,,36.3046506401027,55.18041450023422,73.64515278476486,29.98931994479202,69.3962647313403,50.187081446284324,30
Bryce Young,CAR,956,-0.3270719087843926,6.756041227491274,4.606501933400339,-2.1495392940909337,11.80693878811564,2.8531162905503034,86.40348573643004,63.56769869033293,6022,46,22,17,6.299163179916318,4.811715481171548,2.301255230125523,YOUNG,,,,,,,,,,,49.96766503654115,51.66882000440714,30.990929240356813,10.965690480254084,62.575208083707636,48.6661853053061,31
Kyler Murray,ARI,322,-1.007019076367173,6.131291496664557,3.964439272561608,-2.1668522241029486,13.308902702745513,2.6880696998336844,89.85215849514081,68.60685404178882,1924,12,6,6,5.975155279503106,3.7267080745341614,1.8633540372670807,MURRAY,,,,,,,,,,,46.73104685604857,57.53993697154493,18.09084181230735,25.534902100943846,60.94946401225114,48.50200627980656,32
Patrick Mahomes,KC,1004,-3.0743321191196675,7.88752846004441,5.320511936112086,-2.567016523932324,13.076207712594465,2.790782251626771,89.56177363298441,62.479120079883266,7174,44,22,15,7.145418326693227,4.382470119521913,2.1912350597609564,MAHOMES,,,,,,,,,,,36.89042496960249,57.04557765986477,54.35433942437125,23.277735652693746,60.94946401225114,47.185245854895676,33
Bo Nix,DEN,1224,-2.2125050055380253,7.470295005811394,4.611316058389771,-2.8589789474216243,11.021783312625342,2.8519021103177007,87.80718663996191,63.436699370519854,7862,50,22,18,6.423202614379085,4.084967320261438,1.7973856209150325,NIX,,,,,,,,,,,40.992810327241585,54.05851968545008,45.739132771315724,3.349597865685276,64.75880551301684,46.757117627165755,34
Geno Smith,LV,896,0.9985093565886478,6.4146021691580914,4.198023556971091,-2.216578612187001,14.144493266119905,2.80352074067391,86.42227689848197,67.58616798073186,6050,38,34,16,6.752232142857143,4.241071428571429,3.7946428571428568,SMITH,,,,,,,,,,,56.2775676698283,51.70081060429128,23.94075620863668,33.640220496061815,34.93030108291403,46.692365867002216,35
Tua Tagovailoa,MIA,768,-1.0141421450801593,6.6633517888021645,4.572842843213432,-2.0905089455887333,13.468634685386604,2.6570275976380273,87.35399852093694,67.25562972123075,5320,40,30,15,6.927083333333333,5.208333333333334,3.90625,TAGOVAILOA,,,,,,,,,,,46.69714031919321,53.28699955551248,29.077039879949893,27.084319523707883,40.712337289433385,44.365139031497634,36
Jayden Daniels,WAS,376,-3.887429074914448,7.448440674751911,5.875618329678362,-1.5728223450735483,10.78645645135007,2.795345828393021,86.38293222734711,60.51955579881111,2524,16,6,8,6.712765957446808,4.25531914893617,1.5957446808510638,DANIELS,,,,,,,,,,,33.02000015559199,51.63382913564285,45.287875623952395,1.0669019842752174,69.21654556710436,43.657479648383834,37
Caleb Williams,CHI,1136,-6.9091605643706835,8.470357340501689,6.142351900622025,-2.328005439879664,10.676467776427348,3.198472256300967,90.29735334489915,58.20834682095696,7884,54,14,18,6.940140845070423,4.753521126760563,1.232394366197183,WILLIAMS,,,,,,,,,,,18.636248679562424,58.29784913630355,66.38882802437747,0.0,78.73533313202337,43.08713462425573,38
